property_code,lease_id,unit_num
talw1189,t0054542,411
talw1189,t0054542,411
talw1189,t0048926,411
talw1189,t0048926,411
talw1189,t0054540,110
talw1189,t0054540,110
talw1189,t0054540,110
talw1189,t0054540,110
talw1189,t0054541,202
talw1189,t0054541,202
talw1189,t0054541,202
talw1189,t0054541,202
talw1189,t0054541,202
talw1189,t0048879,101
talw1189,t0048879,101
talw1189,t0048880,102
talw1189,t0048880,102
talw1189,t0048881,103
talw1189,t0048881,103
talw1189,t0048882,104
talw1189,t0048882,104
talw1189,t0048883,105
talw1189,t0048883,105
talw1189,t0048884,106
talw1189,t0048884,106
talw1189,t0048885,107
talw1189,t0048885,107
talw1189,t0048886,108
talw1189,t0048886,108
talw1189,t0048887,109
talw1189,t0048887,109
talw1189,t0048888,111
talw1189,t0048888,111
talw1189,t0048889,112
talw1189,t0048889,112
talw1189,t0048890,201
talw1189,t0048890,201
talw1189,t0048891,202
talw1189,t0048891,202
talw1189,t0048892,203
talw1189,t0048892,203
talw1189,t0048893,204
talw1189,t0048893,204
talw1189,t0048894,205
talw1189,t0048894,205
talw1189,t0048895,206
talw1189,t0048895,206
talw1189,t0048896,207
talw1189,t0048896,207
talw1189,t0048897,208
talw1189,t0048897,208
talw1189,t0048898,209
talw1189,t0048898,209
talw1189,t0048899,210
talw1189,t0048899,210
talw1189,t0048900,211
talw1189,t0048900,211
talw1189,t0048901,212
talw1189,t0048901,212
talw1189,t0048902,214
talw1189,t0048902,214
talw1189,t0048903,301
talw1189,t0048903,301
talw1189,t0048904,302
talw1189,t0048904,302
talw1189,t0048905,303
talw1189,t0048905,303
talw1189,t0048906,304
talw1189,t0048906,304
talw1189,t0048907,305
talw1189,t0048907,305
talw1189,t0048908,306
talw1189,t0048908,306
talw1189,t0048909,307
talw1189,t0048909,307
talw1189,t0048909,307
talw1189,t0048910,308
talw1189,t0048910,308
talw1189,t0048911,309
talw1189,t0048911,309
talw1189,t0048912,310
talw1189,t0048912,310
talw1189,t0048913,311
talw1189,t0048913,311
talw1189,t0048914,312
talw1189,t0048914,312
talw1189,t0048915,314
talw1189,t0048915,314
talw1189,t0048916,401
talw1189,t0048916,401
talw1189,t0048917,402
talw1189,t0048917,402
talw1189,t0048918,403
talw1189,t0048918,403
talw1189,t0048919,404
talw1189,t0048919,404
talw1189,t0048920,405
talw1189,t0048920,405
talw1189,t0048920,405
talw1189,t0048921,406
talw1189,t0048921,406
talw1189,t0048922,407
talw1189,t0048922,407
talw1189,t0048923,408
talw1189,t0048923,408
talw1189,t0048924,409
talw1189,t0048924,409
talw1189,t0048925,410
talw1189,t0048925,410
talw1189,t0048927,412
talw1189,t0048927,412
talw1189,t0048928,414
talw1189,t0048928,414
talw1189,t0048929,501
talw1189,t0048929,501
talw1189,t0048930,502
talw1189,t0048930,502
talw1189,t0048931,503
talw1189,t0048931,503
talw1189,t0048932,504
talw1189,t0048932,504
talw1189,t0048933,505
talw1189,t0048933,505
talw1189,t0048934,506
talw1189,t0048934,506
talw1189,t0048935,507
talw1189,t0048935,507
talw1189,t0048936,508
talw1189,t0048936,508
talw1189,t0048937,509
talw1189,t0048937,509
talw1189,t0048937,509
talw1189,t0048938,510
talw1189,t0048938,510
talw1189,t0048939,511
talw1189,t0048939,511
talw1189,t0048940,512
talw1189,t0048940,512
talw1189,t0048941,514
talw1189,t0048941,514
talw1189,t0048942,601
talw1189,t0048942,601
talw1189,t0048943,602
talw1189,t0048943,602
talw1189,t0048944,603
talw1189,t0048944,603
talw1189,t0048945,604
talw1189,t0048945,604
talw1189,t0048946,605
talw1189,t0048946,605
talw1189,t0048947,607
talw1189,t0048947,607
talw1189,t0048948,608
talw1189,t0048948,608
talw1189,t0048949,609
talw1189,t0048949,609
talw1189,t0048950,610
talw1189,t0048950,610
talw1189,t0048951,611
talw1189,t0048951,611
talw1189,t0048952,612
talw1189,t0048952,612
talw1189,t0048953,614
talw1189,t0048953,614
talw1189,t0048954,701
talw1189,t0048954,701
talw1189,t0048955,702
talw1189,t0048955,702
talw1189,t0048956,705
talw1189,t0048956,705
talw1189,t0048957,706
talw1189,t0048957,706
talw1189,t0048958,707
talw1189,t0048958,707
talw1189,t0048958,707
talw1189,t0048959,708
talw1189,t0048959,708
talw1189,t0048960,709
talw1189,t0048960,709
talw1189,t0048961,710
talw1189,t0048961,710
talw1189,t0048962,711
talw1189,t0048962,711
talw1189,t0048963,712
talw1189,t0048963,712
talw1189,t0048964,714
talw1189,t0048964,714
talw1189,t0048965,801
talw1189,t0048965,801
talw1189,t0048966,802
talw1189,t0048966,802
talw1189,t0048967,803
talw1189,t0048967,803
talw1189,t0048968,804
talw1189,t0048968,804
talw1189,t0048968,804
talw1189,t0048969,805
talw1189,t0048969,805
talw1189,t0048970,806
talw1189,t0048970,806
talw1189,t0048971,807
talw1189,t0048971,807
talw1189,t0048972,808
talw1189,t0048972,808
talw1189,t0048973,809
talw1189,t0048973,809
talw1189,t0048973,809
talw1189,t0048974,810
talw1189,t0048974,810
talw1189,t0048975,811
talw1189,t0048975,811
talw1189,t0048975,811
talw1189,t0048976,812
talw1189,t0048976,812
talw1189,t0048977,814
talw1189,t0048977,814
