Type,Rooms,Repair Subject,Subject Details,Issue,Priority
Amenities,Business Center,Ceiling Repair,,,STANDARD
Amenities,Business Center,Door Repair,,,STANDARD
Amenities,Business Center,Equipment repair (explain),,,STANDARD
Amenities,Business Center,Fire Sprinkler Repair,,,EMERGENCY
Amenities,Business Center,Floor Repair,,,STANDARD
Amenities,Business Center,Glass Door / Window,Window,Window Repair,STANDARD
Amenities,Business Center,Heat or Air Repair,,,STANDARD
Amenities,Business Center,Light Repair,,,STANDARD
Amenities,Business Center,Not In List,,,STANDARD
Amenities,Business Center,Room Dirty,,,STANDARD
Amenities,Business Center,Smoke Detector Repair,,,STANDARD
Amenities,Business Center,Wall Repair,,,STANDARD
Amenities,Business Center,Water Leak (Explain),,,EMERGENCY
Amenities,Clubhouse,Alarm Repair,,,EMERGENCY
Amenities,Clubhouse,Bathroom Repair,,,STANDARD
Amenities,Clubhouse,Blind  Repair,,,STANDARD
Amenities,Clubhouse,Ceiling Repair,,,STANDARD
Amenities,Clubhouse,Dirty,,,STANDARD
Amenities,Clubhouse,Door Repair,,,EMERGENCY
Amenities,Clubhouse,Fire equipment Repair,,,STANDARD
Amenities,Clubhouse,Floor Repair,,,STANDARD
Amenities,Clubhouse,Furniture Repair,,,STANDARD
Amenities,Clubhouse,Game Table Repair,,,STANDARD
Amenities,Clubhouse,Heat or air Repair,,,STANDARD
Amenities,Clubhouse,Kitchen Repair,,,STANDARD
Amenities,Clubhouse,Light  Repair,,,STANDARD
Amenities,Clubhouse,Not In List,,,STANDARD
Amenities,Clubhouse,Plumbing repair,,,STANDARD
Amenities,Clubhouse,Sauna Repair,,,STANDARD
Amenities,Clubhouse,Spa Repair,,,STANDARD
Amenities,Clubhouse,Wall Repair,,,STANDARD
Amenities,Clubhouse,Water Heater  Repair,,,STANDARD
Amenities,Clubhouse,Water Leak (Explain),,,EMERGENCY
Amenities,Clubhouse,Window Repair,,,EMERGENCY
Amenities,Day Care,Alarm Repair,,,EMERGENCY
Amenities,Day Care,Appliance repair,,,STANDARD
Amenities,Day Care,Bath accessory repair,,,STANDARD
Amenities,Day Care,Blind repair,,,STANDARD
Amenities,Day Care,Door Repair,,,EMERGENCY
Amenities,Day Care,Electrical repair,,,STANDARD
Amenities,Day Care,Fire Safety Repair,,,EMERGENCY
Amenities,Day Care,Flooring Repair,,,STANDARD
Amenities,Day Care,Heat / Air repair,,,STANDARD
Amenities,Day Care,Leak,,,EMERGENCY
Amenities,Day Care,Not In List,,,STANDARD
Amenities,Day Care,Screen Repair,,,STANDARD
Amenities,Day Care,Sink / Faucet repair,,,STANDARD
Amenities,Day Care,Toilet repair,,,STANDARD
Amenities,Day Care,Wall / Ceiling repair,,,STANDARD
Amenities,Day Care,Window repair,,,STANDARD
Amenities,Elevator,Alarm Repair,,,EMERGENCY
Amenities,Elevator,Dirty,,,STANDARD
Amenities,Elevator,Door Repair,,,STANDARD
Amenities,Elevator,Elevator Repair,,,EMERGENCY
Amenities,Elevator,Floor  Repair,,,STANDARD
Amenities,Elevator,Light Repair,,,EMERGENCY
Amenities,Elevator,Not In List,,,STANDARD
Amenities,Elevator,Water Leak (Explain),,,EMERGENCY
Amenities,Exterior Activity Areas,Bicycle/Jogging Track Repair,,,STANDARD
Amenities,Exterior Activity Areas,Dirty,,,STANDARD
Amenities,Exterior Activity Areas,Fence / gate Repair,,,STANDARD
Amenities,Exterior Activity Areas,Light Repair,,,STANDARD
Amenities,Exterior Activity Areas,Miniature Golf Course Repair,,,STANDARD
Amenities,Exterior Activity Areas,Not In List,,,STANDARD
Amenities,Exterior Activity Areas,Playground Equipment Repair,,,STANDARD
Amenities,Exterior Activity Areas,Sport Court Repair,,,STANDARD
Amenities,Fitness Center,Bathroom Repair,,,STANDARD
Amenities,Fitness Center,Ceiling Repair,,,STANDARD
Amenities,Fitness Center,Dirty,,,STANDARD
Amenities,Fitness Center,Door Repair,,,EMERGENCY
Amenities,Fitness Center,Electrical Repair,,,STANDARD
Amenities,Fitness Center,Fire Extinguisher  Repair,,,STANDARD
Amenities,Fitness Center,Fire Sprinkler Repair,,,EMERGENCY
Amenities,Fitness Center,Fitness Equipment Repair,,,STANDARD
Amenities,Fitness Center,Floor Repair,,,STANDARD
Amenities,Fitness Center,Heat or Air Repair,,,STANDARD
Amenities,Fitness Center,Light Repair,,,STANDARD
Amenities,Fitness Center,Mirror Repair,,,STANDARD
Amenities,Fitness Center,Not In List,,,STANDARD
Amenities,Fitness Center,Smoke Detector Repair,,,STANDARD
Amenities,Fitness Center,TV Repair,,,STANDARD
Amenities,Fitness Center,Wall Repair,,,STANDARD
Amenities,Fitness Center,Water Leak (Explain),,,EMERGENCY
Amenities,Fitness Center,Window Repair,,,STANDARD
Amenities,Garage / Carports,Doors,Damaged,,EMERGENCY
Amenities,Garage / Carports,Doors,Leaks at bottom,,EMERGENCY
Amenities,Garage / Carports,Doors,Leaks at top,,EMERGENCY
Amenities,Garage / Carports,Doors,Misplaced opener,,STANDARD
Amenities,Garage / Carports,Doors,Not In List,,STANDARD
Amenities,Garage / Carports,Doors,Will not close,,EMERGENCY
Amenities,Garage / Carports,Doors,Will not open,,EMERGENCY
Amenities,Garage / Carports,Plumbing,Fire Sprinkler Head,Head leaks,EMERGENCY
Amenities,Garage / Carports,Plumbing,Fire Sprinkler Head,Not In List,STANDARD
Amenities,Garage / Carports,Plumbing,Leak,,STANDARD
Amenities,Garage / Carports,Plumbing,Water Heater,Leak,EMERGENCY
Amenities,Garage / Carports,Trim,Damaged,,STANDARD
Amenities,Garage / Carports,Trim,Loose,,STANDARD
Amenities,Garage / Carports,Trim,Missing,,STANDARD
Amenities,Garage / Carports,Trim,Not In List,,STANDARD
Amenities,Laundry Room,Ceiling Repair,,,STANDARD
Amenities,Laundry Room,Controlled Access Device Repair,,,STANDARD
Amenities,Laundry Room,Door Repair,,,EMERGENCY
Amenities,Laundry Room,Dryer repair,,,STANDARD
Amenities,Laundry Room,Fire Extinguisher Repair,,,STANDARD
Amenities,Laundry Room,Fire Sprinkler Repair,,,EMERGENCY
Amenities,Laundry Room,Floor Repair,,,STANDARD
Amenities,Laundry Room,Floor is wet,,,EMERGENCY
Amenities,Laundry Room,Heat or Air Repair,,,STANDARD
Amenities,Laundry Room,Light Repair,,,EMERGENCY
Amenities,Laundry Room,No Hot Water,,,STANDARD
Amenities,Laundry Room,Not In List,,,STANDARD
Amenities,Laundry Room,Plumbing,Water Heater,Leak,EMERGENCY
Amenities,Laundry Room,Room Dirty,,,STANDARD
Amenities,Laundry Room,Smoke Detector Repair,,,STANDARD
Amenities,Laundry Room,Wall Repair,,,STANDARD
Amenities,Laundry Room,Washer repair,,,STANDARD
Amenities,Laundry Room,Water Leak (Explain),,,EMERGENCY
Amenities,Laundry Room,Window Repair,,,STANDARD
Amenities,Leasing Office,Alarm Repair,,,EMERGENCY
Amenities,Leasing Office,Bathroom Repair,,,STANDARD
Amenities,Leasing Office,Blind Repair,,,STANDARD
Amenities,Leasing Office,Ceiling Repair,,,STANDARD
Amenities,Leasing Office,Dirty,,,STANDARD
Amenities,Leasing Office,Door Repair,,,STANDARD
Amenities,Leasing Office,Fire equipment Repair,,,EMERGENCY
Amenities,Leasing Office,Floor Repair,,,STANDARD
Amenities,Leasing Office,Furniture Repair,,,STANDARD
Amenities,Leasing Office,Heat or air Repair,,,STANDARD
Amenities,Leasing Office,Light Repair,,,STANDARD
Amenities,Leasing Office,Not In List,,,STANDARD
Amenities,Leasing Office,Plumbing repair,,,STANDARD
Amenities,Leasing Office,Wall  Repair,,,STANDARD
Amenities,Leasing Office,Water Heater Repair,,,STANDARD
Amenities,Leasing Office,Water Leak (Explain),,,EMERGENCY
Amenities,Leasing Office,Window Repair,,,STANDARD
Amenities,Mail Center,Ceiling Repair,,,STANDARD
Amenities,Mail Center,Dirty,,,STANDARD
Amenities,Mail Center,Door Repair,,,STANDARD
Amenities,Mail Center,Fire Equipment repair,,,EMERGENCY
Amenities,Mail Center,Floor  Repair,,,STANDARD
Amenities,Mail Center,Light Repair,,,STANDARD
Amenities,Mail Center,Mail Box Repair,,,STANDARD
Amenities,Mail Center,Not In List,,,STANDARD
Amenities,Mail Center,Trash Receptacle Repair,,,STANDARD
Amenities,Mail Center,Wall Repair,,,STANDARD
Amenities,Mail Center,Water Leak (Explain),,,EMERGENCY
Amenities,Maintenance Shop,Ceiling Repair,,,STANDARD
Amenities,Maintenance Shop,Dirty,,,STANDARD
Amenities,Maintenance Shop,Door Repair,,,STANDARD
Amenities,Maintenance Shop,Fire equipment repair,,,EMERGENCY
Amenities,Maintenance Shop,Floor Repair,,,STANDARD
Amenities,Maintenance Shop,Garage Door Repair,,,STANDARD
Amenities,Maintenance Shop,Heat or Air Repair,,,STANDARD
Amenities,Maintenance Shop,Light Repair,,,STANDARD
Amenities,Maintenance Shop,Not In List,,,STANDARD
Amenities,Maintenance Shop,Plumbing repair,,,STANDARD
Amenities,Maintenance Shop,Wall Repair,,,STANDARD
Amenities,Maintenance Shop,Water Heater Repair,,,STANDARD
Amenities,Maintenance Shop,Water Leak (Explain),,,EMERGENCY
Amenities,Maintenance Shop,Window Repair,,,EMERGENCY
Amenities,Parking Garage,Ceiling Repair,,,STANDARD
Amenities,Parking Garage,Dirty,,,STANDARD
Amenities,Parking Garage,Door Repair,,,STANDARD
Amenities,Parking Garage,Fire Extinguisher  Repair,,,STANDARD
Amenities,Parking Garage,Fire Sprinkler Repair,,,EMERGENCY
Amenities,Parking Garage,Floor Drain Repair,,,STANDARD
Amenities,Parking Garage,Floor Repair,,,STANDARD
Amenities,Parking Garage,Light Repair,,,EMERGENCY
Amenities,Parking Garage,Not In List,,,STANDARD
Amenities,Parking Garage,Parking Stop Repair,,,STANDARD
Amenities,Parking Garage,Sign Repair,,,STANDARD
Amenities,Parking Garage,Trash Chute Repair,,,STANDARD
Amenities,Parking Garage,Wall Repair,,,STANDARD
Amenities,Parking Garage,Water Leak (Explain),,,EMERGENCY
Amenities,Pet Stations,Bag Dispenser Empty,,,STANDARD
Amenities,Pet Stations,Dirty,,,STANDARD
Amenities,Pet Stations,Not In List,,,STANDARD
Amenities,Pet Stations,Receptacle Full,,,STANDARD
Amenities,Pet Stations,Station Repair,,,STANDARD
Amenities,Phone / Cable Rooms,Alarm Repair,,,EMERGENCY
Amenities,Phone / Cable Rooms,Door Repair,,,STANDARD
Amenities,Phone / Cable Rooms,Electrical Repair,,,STANDARD
Amenities,Phone / Cable Rooms,Fire equipment Repair,,,EMERGENCY
Amenities,Phone / Cable Rooms,Floor  Repair,,,STANDARD
Amenities,Phone / Cable Rooms,Heat or Air Repair,,,STANDARD
Amenities,Phone / Cable Rooms,Not In List,,,STANDARD
Amenities,Phone / Cable Rooms,Water Leak (Explain),,,EMERGENCY
Amenities,Pool / Spa,Coping,Crack,,STANDARD
Amenities,Pool / Spa,Coping,Dirty,,STANDARD
Amenities,Pool / Spa,Coping,Not In List,,STANDARD
Amenities,Pool / Spa,Coping,Stained,,STANDARD
Amenities,Pool / Spa,Decking,Crack,,EMERGENCY
Amenities,Pool / Spa,Decking,Dirty,,STANDARD
Amenities,Pool / Spa,Decking,Not In List,,STANDARD
Amenities,Pool / Spa,Decking,Stained,,STANDARD
Amenities,Pool / Spa,Pool / Spa,Dirty,,STANDARD
Amenities,Pool / Spa,Pool / Spa,Heater not working,,STANDARD
Amenities,Pool / Spa,Pool / Spa,Not In List,,STANDARD
Amenities,Retail,Retail Corridors,Ceiling Repair,,STANDARD
Amenities,Retail,Retail Corridors,Compactor Repair,,STANDARD
Amenities,Retail,Retail Corridors,Dirty,,STANDARD
Amenities,Retail,Retail Corridors,Door Repair,,STANDARD
Amenities,Retail,Retail Corridors,Electrical Repair,,STANDARD
Amenities,Retail,Retail Corridors,Fire equipment Repair,,STANDARD
Amenities,Retail,Retail Corridors,Floor Drain Repair,,STANDARD
Amenities,Retail,Retail Corridors,Floor Repair,,STANDARD
Amenities,Retail,Retail Corridors,Light Repair,,EMERGENCY
Amenities,Retail,Retail Corridors,Not In List,,STANDARD
Amenities,Retail,Retail Corridors,Pest Control,,STANDARD
Amenities,Retail,Retail Corridors,Wall Repair,,STANDARD
Amenities,Retail,Retail Corridors,Water Leak (Explain),,EMERGENCY
Amenities,Retail,Retail Storefront (Exterior),Curb Repair,,STANDARD
Amenities,Retail,Retail Storefront (Exterior),Dirty,,STANDARD
Amenities,Retail,Retail Storefront (Exterior),Light Repair,,EMERGENCY
Amenities,Retail,Retail Storefront (Exterior),Not In List,,STANDARD
Amenities,Retail,Retail Storefront (Exterior),Pest Control,,STANDARD
Amenities,Retail,Retail Storefront (Exterior),Sidewalk Repair,,STANDARD
Amenities,Retail,Retail Storefront (Exterior),Storefront Window Repair,,EMERGENCY
Amenities,Retail,Retail Storefront (Exterior),Water Leak (Explain),,EMERGENCY
ApartmentUnit,All Rooms,Air Conditioning / Heat,Adjust Vent,,STANDARD
ApartmentUnit,All Rooms,Air Conditioning / Heat,Air Conditioning,AC not working - EMERGENCY,EMERGENCY
ApartmentUnit,All Rooms,Air Conditioning / Heat,Air Conditioning,AC not working - EMERGENCY,EMERGENCY
ApartmentUnit,All Rooms,Air Conditioning / Heat,Air Conditioning,AC not working - NON-emergency,STANDARD
ApartmentUnit,All Rooms,Air Conditioning / Heat,Air Conditioning,AC not working - NON-emergency,STANDARD
ApartmentUnit,All Rooms,Air Conditioning / Heat,Air Conditioning,Does not cool fan not running,EMERGENCY
ApartmentUnit,All Rooms,Air Conditioning / Heat,Air Conditioning,Does not cool fan running,EMERGENCY
ApartmentUnit,All Rooms,Air Conditioning / Heat,Air Conditioning,Thermostat,STANDARD
ApartmentUnit,All Rooms,Air Conditioning / Heat,Heat,Fan blowing will not heat,EMERGENCY
ApartmentUnit,All Rooms,Air Conditioning / Heat,Heat,Fan not blowing will not heat,EMERGENCY
ApartmentUnit,All Rooms,Air Conditioning / Heat,Heat,Heat not working - EMERGENCY,EMERGENCY
ApartmentUnit,All Rooms,Air Conditioning / Heat,Heat,Heat not working - EMERGENCY,EMERGENCY
ApartmentUnit,All Rooms,Air Conditioning / Heat,Heat,Heat not working - NON-emergency,STANDARD
ApartmentUnit,All Rooms,Air Conditioning / Heat,Heat,Heat not working - NON-emergency,STANDARD
ApartmentUnit,All Rooms,Air Conditioning / Heat,Heat,Thermostat,STANDARD
ApartmentUnit,All Rooms,Electrical,No Power,,EMERGENCY
ApartmentUnit,All Rooms,Electrical,Smoke Detector,Chirps,STANDARD
ApartmentUnit,All Rooms,Electrical,Smoke Detector,False alarms,STANDARD
ApartmentUnit,All Rooms,Electrical,Smoke Detector,Loose from wall / Ceiling,STANDARD
ApartmentUnit,All Rooms,Electrical,Smoke Detector,Not In List,STANDARD
ApartmentUnit,All Rooms,Electrical,Smoke Detector,Replace battery,STANDARD
ApartmentUnit,All Rooms,Electrical,Smoke Detector,Will not work,STANDARD
ApartmentUnit,All Rooms,Flooring,Apartment Carpet,Clean carpet,STANDARD
ApartmentUnit,All Rooms,Flooring,Apartment Carpet,Repair carpet,STANDARD
ApartmentUnit,All Rooms,Flooring,Apartment Carpet,Stretch carpet,STANDARD
ApartmentUnit,All Rooms,Flooring,Apartment Carpet,Wet Vac,STANDARD
ApartmentUnit,All Rooms,Pest Control,Insects,Ants,STANDARD
ApartmentUnit,All Rooms,Pest Control,Insects,Bees,STANDARD
ApartmentUnit,All Rooms,Pest Control,Insects,Fleas,STANDARD
ApartmentUnit,All Rooms,Pest Control,Insects,Not In List,STANDARD
ApartmentUnit,All Rooms,Pest Control,Insects,Roaches,STANDARD
ApartmentUnit,All Rooms,Pest Control,Insects,Scorpions,STANDARD
ApartmentUnit,All Rooms,Pest Control,Insects,Silverfish,STANDARD
ApartmentUnit,All Rooms,Pest Control,Insects,Spiders,STANDARD
ApartmentUnit,All Rooms,Pest Control,Pests,Birds,STANDARD
ApartmentUnit,All Rooms,Pest Control,Pests,Mice,STANDARD
ApartmentUnit,All Rooms,Pest Control,Pests,Not In List,STANDARD
ApartmentUnit,All Rooms,Pest Control,Pests,Rats,STANDARD
ApartmentUnit,All Rooms,Plumbing,Fire Sprinkler Head,Beauty ring repair,STANDARD
ApartmentUnit,All Rooms,Plumbing,Fire Sprinkler Head,Head leaks,EMERGENCY
ApartmentUnit,All Rooms,Plumbing,Fire Sprinkler Head,Not In List,STANDARD
ApartmentUnit,All Rooms,Plumbing,Fire Sprinkler Head,Paint on head,STANDARD
ApartmentUnit,All Rooms,Plumbing,Low water pressure,,STANDARD
ApartmentUnit,All Rooms,Plumbing,No Hot Water,,EMERGENCY
ApartmentUnit,All Rooms,Plumbing,No Water,,EMERGENCY
ApartmentUnit,All Rooms,Walls / Ceiling,Ceiling,Leak,EMERGENCY
ApartmentUnit,All Rooms,Walls / Ceiling,Ceiling,Leaks from apartment above,EMERGENCY
ApartmentUnit,All Rooms,Walls / Ceiling,Ceiling,Leaks when it rains,EMERGENCY
ApartmentUnit,All Rooms,Walls / Ceiling,Ceiling,Not In List,STANDARD
ApartmentUnit,All Rooms,Walls / Ceiling,Ceiling,Paint,STANDARD
ApartmentUnit,All Rooms,Walls / Ceiling,Ceiling,Sheetrock repair,STANDARD
ApartmentUnit,All Rooms,Walls / Ceiling,Ceiling,Stress crack repair,STANDARD
ApartmentUnit,All Rooms,Walls / Ceiling,Walls,Leak,EMERGENCY
ApartmentUnit,All Rooms,Walls / Ceiling,Walls,Leaks from apartment above,EMERGENCY
ApartmentUnit,All Rooms,Walls / Ceiling,Walls,Leaks when it rains,EMERGENCY
ApartmentUnit,All Rooms,Walls / Ceiling,Walls,Not In List,STANDARD
ApartmentUnit,All Rooms,Walls / Ceiling,Walls,Paint,STANDARD
ApartmentUnit,All Rooms,Walls / Ceiling,Walls,Sheetrock repair,STANDARD
ApartmentUnit,All Rooms,Walls / Ceiling,Walls,Stress crack repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Air Conditioning / Heat,Adjust Vent,,STANDARD
ApartmentUnit,Bathroom - Guest ,Air Conditioning / Heat,Air Conditioning,Area of apartment does not cool,STANDARD
ApartmentUnit,Bathroom - Guest ,Air Conditioning / Heat,Air Conditioning,Blowing cool air,STANDARD
ApartmentUnit,Bathroom - Guest ,Air Conditioning / Heat,Air Conditioning,Does not cool fan not running,STANDARD
ApartmentUnit,Bathroom - Guest ,Air Conditioning / Heat,Air Conditioning,Does not cool fan running,STANDARD
ApartmentUnit,Bathroom - Guest ,Air Conditioning / Heat,Air Conditioning,No air blowing from vents but unit is running,STANDARD
ApartmentUnit,Bathroom - Guest ,Air Conditioning / Heat,Air Conditioning,Not In List,STANDARD
ApartmentUnit,Bathroom - Guest ,Air Conditioning / Heat,Air Conditioning,Vent repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Air Conditioning / Heat,Heat,Area of apartment will not heat,STANDARD
ApartmentUnit,Bathroom - Guest ,Air Conditioning / Heat,Heat,Fan blowing will not heat,STANDARD
ApartmentUnit,Bathroom - Guest ,Air Conditioning / Heat,Heat,Fan not blowing will not heat,STANDARD
ApartmentUnit,Bathroom - Guest ,Air Conditioning / Heat,Heat,Not In List,STANDARD
ApartmentUnit,Bathroom - Guest ,Air Conditioning / Heat,Heat,Vent repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Bath Accessories,Hardware,Medicine Cabinet,STANDARD
ApartmentUnit,Bathroom - Guest ,Bath Accessories,Hardware,Mirror,STANDARD
ApartmentUnit,Bathroom - Guest ,Bath Accessories,Hardware,Not In List,STANDARD
ApartmentUnit,Bathroom - Guest ,Bath Accessories,Hardware,Shower rod,STANDARD
ApartmentUnit,Bathroom - Guest ,Bath Accessories,Hardware,Soap dish,STANDARD
ApartmentUnit,Bathroom - Guest ,Bath Accessories,Hardware,Toilet tissue holder,STANDARD
ApartmentUnit,Bathroom - Guest ,Bath Accessories,Hardware,Towel bar,STANDARD
ApartmentUnit,Bathroom - Guest ,Bath Accessories,Hardware,Towel ring,STANDARD
ApartmentUnit,Bathroom - Guest ,Blinds,Mini - Blind,Falling or has fallen,STANDARD
ApartmentUnit,Bathroom - Guest ,Blinds,Mini - Blind,Not In List,STANDARD
ApartmentUnit,Bathroom - Guest ,Blinds,Mini - Blind,Replace blind,STANDARD
ApartmentUnit,Bathroom - Guest ,Blinds,Mini - Blind,Tilt wand repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Blinds,Mini - Blind,Will not lower,STANDARD
ApartmentUnit,Bathroom - Guest ,Blinds,Mini - Blind,Will not raise,STANDARD
ApartmentUnit,Bathroom - Guest ,Blinds,Mini - Blind,Will not tilt,STANDARD
ApartmentUnit,Bathroom - Guest ,Blinds,Vertical blind,Broken or missing slat,STANDARD
ApartmentUnit,Bathroom - Guest ,Blinds,Vertical blind,Falling or has fallen,STANDARD
ApartmentUnit,Bathroom - Guest ,Blinds,Vertical blind,Not In List,STANDARD
ApartmentUnit,Bathroom - Guest ,Blinds,Vertical blind,Replace blind,STANDARD
ApartmentUnit,Bathroom - Guest ,Blinds,Vertical blind,Will not close,STANDARD
ApartmentUnit,Bathroom - Guest ,Blinds,Vertical blind,Will not open,STANDARD
ApartmentUnit,Bathroom - Guest ,Blinds,Vertical blind,Will not tilt,STANDARD
ApartmentUnit,Bathroom - Guest ,Carpentry,Cabinets  Upper / Base,Bottom repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Carpentry,Cabinets  Upper / Base,Door repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Carpentry,Cabinets  Upper / Base,Drawer repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Carpentry,Cabinets  Upper / Base,Handle repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Carpentry,Cabinets  Upper / Base,Hinge repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Carpentry,Cabinets  Upper / Base,Not In List,STANDARD
ApartmentUnit,Bathroom - Guest ,Carpentry,Cabinets  Upper / Base,Shelf repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Carpentry,Counter Top / Vanity,Caulk needed,STANDARD
ApartmentUnit,Bathroom - Guest ,Carpentry,Counter Top / Vanity,Damaged,STANDARD
ApartmentUnit,Bathroom - Guest ,Carpentry,Counter Top / Vanity,Not In List,STANDARD
ApartmentUnit,Bathroom - Guest ,Carpentry,Shelves,Damaged,STANDARD
ApartmentUnit,Bathroom - Guest ,Carpentry,Shelves,Not In List,STANDARD
ApartmentUnit,Bathroom - Guest ,Carpentry,Shelves,Paint,STANDARD
ApartmentUnit,Bathroom - Guest ,Carpentry,Trim / Base boards / Crown mold,Damaged,STANDARD
ApartmentUnit,Bathroom - Guest ,Carpentry,Trim / Base boards / Crown mold,Missing,STANDARD
ApartmentUnit,Bathroom - Guest ,Carpentry,Trim / Base boards / Crown mold,Not In List,STANDARD
ApartmentUnit,Bathroom - Guest ,Carpentry,Trim / Base boards / Crown mold,Paint,STANDARD
ApartmentUnit,Bathroom - Guest ,Carpentry,Window sill,Damaged,STANDARD
ApartmentUnit,Bathroom - Guest ,Carpentry,Window sill,Not In List,STANDARD
ApartmentUnit,Bathroom - Guest ,Carpentry,Window sill,Paint,STANDARD
ApartmentUnit,Bathroom - Guest ,Doors,Bi-fold Doors,Falling down,STANDARD
ApartmentUnit,Bathroom - Guest ,Doors,Bi-fold Doors,Knob repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Doors,Bi-fold Doors,Not In List,STANDARD
ApartmentUnit,Bathroom - Guest ,Doors,Bi-fold Doors,Will not close,STANDARD
ApartmentUnit,Bathroom - Guest ,Doors,Bi-fold Doors,Will not open,STANDARD
ApartmentUnit,Bathroom - Guest ,Doors,Bi-fold Doors,Will not stay on track,STANDARD
ApartmentUnit,Bathroom - Guest ,Doors,Interior Doors,Deadbolt repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Doors,Interior Doors,Door stop,STANDARD
ApartmentUnit,Bathroom - Guest ,Doors,Interior Doors,Hard to open,STANDARD
ApartmentUnit,Bathroom - Guest ,Doors,Interior Doors,Hinge repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Doors,Interior Doors,Locking knob repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Doors,Interior Doors,Not In List,STANDARD
ApartmentUnit,Bathroom - Guest ,Doors,Interior Doors,Passage knob repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Doors,Interior Doors,Will not close,STANDARD
ApartmentUnit,Bathroom - Guest ,Doors,Interior Doors,Will not latch,STANDARD
ApartmentUnit,Bathroom - Guest ,Doors,Sliding Doors,Comes off track,STANDARD
ApartmentUnit,Bathroom - Guest ,Doors,Sliding Doors,Not In List,STANDARD
ApartmentUnit,Bathroom - Guest ,Doors,Sliding Doors,Will not slide,STANDARD
ApartmentUnit,Bathroom - Guest ,Electrical,Light Switch,Cover plate repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Electrical,Light Switch,Dimmer does not work,STANDARD
ApartmentUnit,Bathroom - Guest ,Electrical,Light Switch,Does not work,STANDARD
ApartmentUnit,Bathroom - Guest ,Electrical,Light Switch,Loose from wall,STANDARD
ApartmentUnit,Bathroom - Guest ,Electrical,Light Switch,Not In List,STANDARD
ApartmentUnit,Bathroom - Guest ,Electrical,Light fixture / Ceiling fan,Cosmetic repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Electrical,Light fixture / Ceiling fan,Fan does not work,STANDARD
ApartmentUnit,Bathroom - Guest ,Electrical,Light fixture / Ceiling fan,Flickers,EMERGENCY
ApartmentUnit,Bathroom - Guest ,Electrical,Light fixture / Ceiling fan,Globe / Lens repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Electrical,Light fixture / Ceiling fan,Light is dim,EMERGENCY
ApartmentUnit,Bathroom - Guest ,Electrical,Light fixture / Ceiling fan,Not In List,STANDARD
ApartmentUnit,Bathroom - Guest ,Electrical,Light fixture / Ceiling fan,Not balanced,STANDARD
ApartmentUnit,Bathroom - Guest ,Electrical,Light fixture / Ceiling fan,Pull chain repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Electrical,Light fixture / Ceiling fan,Pulling loose from ceiling / wall,EMERGENCY
ApartmentUnit,Bathroom - Guest ,Electrical,Light fixture / Ceiling fan,Will not come on / bulb out,STANDARD
ApartmentUnit,Bathroom - Guest ,Electrical,Outlet,Cover plate repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Electrical,Outlet,GFI will not reset,EMERGENCY
ApartmentUnit,Bathroom - Guest ,Electrical,Outlet,Loose from wall,STANDARD
ApartmentUnit,Bathroom - Guest ,Electrical,Outlet,No power,EMERGENCY
ApartmentUnit,Bathroom - Guest ,Electrical,Outlet,Not In List,STANDARD
ApartmentUnit,Bathroom - Guest ,Electrical,Outlet,Sparks,EMERGENCY
ApartmentUnit,Bathroom - Guest ,Flooring,Apartment Carpet,Carpet bar repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Flooring,Apartment Carpet,Clean carpet,STANDARD
ApartmentUnit,Bathroom - Guest ,Flooring,Apartment Carpet,Not In List,STANDARD
ApartmentUnit,Bathroom - Guest ,Flooring,Apartment Carpet,Repair carpet,STANDARD
ApartmentUnit,Bathroom - Guest ,Flooring,Apartment Carpet,Replace carpet,STANDARD
ApartmentUnit,Bathroom - Guest ,Flooring,Apartment Carpet,Stretch carpet,STANDARD
ApartmentUnit,Bathroom - Guest ,Flooring,Apartment Carpet,Wet Vac,STANDARD
ApartmentUnit,Bathroom - Guest ,Flooring,Ceramic Tile,Broken tile,STANDARD
ApartmentUnit,Bathroom - Guest ,Flooring,Ceramic Tile,Grout repair,STANDARD
ApartmentUnit,Bathroom - Guest ,Flooring,Ceramic Tile,Loose tile,STANDARD
ApartmentUnit,Bathroom - Guest ,Flooring,Ceramic Tile,Not In List,STANDARD
