Name,province
Douglas,Isle_of_Man
Dover,Kent
Downpatrick,Co_Down
Driffield,North_Humberside
Droitwich,Hereford_and_Worcester
Dromore,Co_Down
Dudley,West_Midlands
Dumbarton,Dunbartonshire
Dumfries,Dumfriesshire
Dunbar,East_Lothian
Dunblane,Perthshire
Dundee,Angus
Dunfermline,Fife
Dungannon,Co_Tyrone
Dunkeld,Perthshire
Dunmow,Essex
Dunmurry,Belfast
Dunoon,Argyll
Duns,Berwickshire
Dunstable,Bedfordshire
Durham,Co_Durham
East Grinstead,West_Sussex
East Molesey,Surrey
Eastbourne,East_Sussex
Eastleigh,Hampshire
Ebbw Vale,Gwent
Edenbridge,Kent
Edgware,Middlesex
Edinburgh,Edinburgh
Egham,Surrey
Elgin,Morayshire
Ellesmere Port,Cheshire
Ely,Cambridgeshire
Emsworth,Hampshire
Enfeld,Middlesex
Enniskillen,Co_Fermanagh
Epping,Essex
Epsom,Surrey
Erith,Kent
Esher,Surrey
Exeter,Devon
Exmouth,Devon
Falkirk,Stirlingshire
Falmouth,Cornwall
Fareham,Hampshire
Farnborough,Hampshire
Farnham,Surrey
Felixstowe,Suffolk
Fishguard,Dyfed
Fivemiletown,Co_Tyrone
Fleet,Hampshire
Fleetwood,Lancashire
Flint,Clwyd
Folkestone,Kent
Forfar,Angus
Fort William,Inverness-shire
Fortrose,Ross-shire
Fowey,Cornwall
Fraserburgh,Aberdeenshire
Freshwater,Isle_of_Wight
Frinton-on-Sea,Essex
Frome,Somerset
Gairloch,Ross-shire
Galasheils,Selkirkshire
Gateshead,Tyne_and_Wear
Gerrards Cross,Buckinghamshire
Gillingham,Dorset
Gillingham,Kent
Glamorgan,Rotherham
Glasgow,Glasgow
Glastonbury,Somerset
Glenrothes,Fife
Glossop,Derbyshire
Gloucester,Gloucestershire
Godalming,Surrey
Godstone,Surrey
Gosport,Hampshire
Grange-over-Sands,Cumbria
Grangemouth,Midlothian
Grantham,Lincolnshire
Gravesend,Kent
Great Missenden,Buckinghamshire
Greenford,Middlesex
Greenock,Renfrewshire
Gretna,Dumfriesshire
Grimsby,South_Humberside
Guernsey,Channel_Islands
Guildford,Surrey
Guisborough,North_Yorkshire
Gullane,East_Lothian
Hamilton,Lanark_shire
Haddington,East_Lothian
Hailsham,East_Sussex
Halesowen,West_Midlands
Halifax,West_Yorkshire
Halstead,Essex
Haltwhistle,Northumberland
Hampton,Middlesex
Harlow,Essex
Harpenden,Hertfordshire
Harrogate,North_Yorkshire
Harrow,Middlesex
Hartlepool,Cleveland
Harwich,Essex
Haslemere,Surrey
Hassocks,West_Sussex
Hastings,East_Sussex
Hatfield,Hertfordshire
Havant,Hampshire
Haverfordwest,Dyfed
Hawick,Roxburghshire
Hayes,Middlesex
Hayling Island,Hampshire
Haywards Heath,West_Sussex
Heanor,Derbyshire
Heathfield,East_Sussex
Helensburgh,Dunbartonshire
Helston,Cornwall
HemelHempstead,Hertfordshire
Henfield,West_Sussex
Henley-on-Thames,Oxfordshire
Hereford,Hereford_and_Worcester
Herne Bay,Kent
Hertford,Hertfordshire
Hessle,North_Humberside
Hexham,Northumberland
Heywood,Lancashire
High Wycombe,Buckinghamshire
Highbridge,Somerset
Hillsborough,Co_Down
Hinckley,Leicestershire
Hindhead,Surrey
Hitchin,Hertfordshire
Hockley,Essex
Hoddesdon,Hertfordshire
Holsworthy,Devon
Holt,Norfolk
Holyhead,Gwynedd
Holywood,Co_Down
Honiton,Devon
Hook,Hampshire
Horley,Surrey
Hornchurch,Essex
Horsham,West_Sussex
Houghton le Spring,Tyne_and_Wear
Hounslow,Middlesex
Hove,East_Sussex
Hull,North_Humberside
Hungerford,Berkshire
Hunstanton,Norfolk
Huntingdon,Cambridgeshire
Hyde,Cheshire
Hythe,Kent
Ilford,Essex
Ilfracombe,Devon
Ilkeston,Derbyshire
Ilkley,West_Yorkshire
Immingham,South_Humberside
Ingatestone,Essex
Inveraray,Argyll
Inverness,Inverness-shire
Inverurie,Aberdeenshire
Iona,Isle_of_Iona
Ipswich,Suffolk
Ironbridge,Shropshire
Isle of Wight,Isle_of_Wight
Isleworth,Middlesex
Jersey,Channel_Islands
Johnston,Renfrewshire
Keighley,West_Yorkshire
Kelso,Roxburghshire
Kendal,Cumbria
Kenilworth,Warwickshire
Keswick,Cumbria
Kettering,Northamptonshire
Kidderminster,Hereford_and_Worcester
Kilbirnie,Ayrshire
Killin,Perthshire
Kilmacolm,Renfrewshire
Kilmarnock,Ayrshire
King's Lynn,Norfolk
Kings Langley,Hertfordshire
Kingston upon Thames,Surrey
Kingswinford,West_Midlands
Kingussie,Inverness-shire
Kirkby Stephen,Cumbria
Kirkcaldy,Fife
Kirriemuir,Angus
Knutsford,Cheshire
Kyle,Ross-shire
Kyleakin,Isle_of_Skye
Laindon,Essex
Lairg,Sutherland
Lanark,Lanarkshire
Lancaster,Lancashire
Lancing,West_Sussex
Larbert,Stirlingshire
Latheron,Caithness
Launceston,Cornwall
Leamington Spa,Warwickshire
Leatherhead,Surrey
Ledbury,Hereford_and_Worcester
Leeds,West_Yorkshire
Leicester,Leicestershire
Leigh,Lancashire
Leigh-on-Sea,Essex
Leighton Buzzar,Bedfordshire
Leiston,Suffolk
Leominster,Hereford_and_Worcester
Lerwick,Isle_of_Shetland
Letchworth,Hertfordshire
Lewes,East_Sussex
Leyburn,North_Yorkshire
Leyland,Lancashire
Lichfield,Staffordshire
Lightwater,Surrey
Limavady,Co_Londonderry
Lincoln,Lincolnshire
Lingfield,Surrey
Liphook,Hampshire
Lisburn,Co_Antrim
Liss,Hampshire
Littleborough,Lancashire
Littlehampton,West_Sussex
Liverpool,Merseyside
Livingston,West_Lothian
Llanbedr,Gwynedd
Llandrindod Wells,Powys
Llandudno,Gwynedd
Llandysul,Dyfed
Llanelli,Dyfed
Llangollen,Clwyd
Llanidloes,Powys
Llanrwst,Gwynedd
Llantwit,South_Glamorgan
Llanwrda,Dyfed
Loanhead,Midlothian
Lochboisdale,Isle_of_Uist
Lochcarron,Ross-shire
Lochgilphead,Argyll
Lochwinnoch,Renfrewshire
Lockerbie,Dumfriesshire
London,London
Londonderry,Co_Londonderry
Loughborough,Leicestershire
Loughton,Essex
Louth,Lincolnshire
Lowestoft,Suffolk
Ludlow,Shropshire
Lurgan,Co_Antrim
Luton,Bedfordshire
Lutterworth,Leicestershire
Lydney,Gloucestershire
Lymington,Hampshire
Lyndhurst,Hampshire
Lynton,Devon
Lytham StAnnes,Lancashire
Macclesfield,Cheshire
Machynlleth,Powys
Maesteg,Mid_Glamorgan
Magharafelt,Co_Londonderry
Maidenhead,Berkshire
Maidstone,Kent
Maldon,Essex
Malmesbury,Wiltshire
Malpas,Cheshire
Malvern,Hereford_and_Worcester
Manchester,Greater_Manchester
March,Cambridgeshire
Margate,Kent
Market Harborough,Leicestershire
Marlow,Buckinghamshire
Maryport,Cumbria
Matlock,Derbyshire
Meifod,Powys
Melksham,Wiltshire
Melton Mowbray,Leicestershire
Mere,Wiltshire
